Number Time x_pos y_pos
392991.0 2435.8 0.15 0.15
392991.0 2441.3 0.15 0.15
392991.0 2476.8 0.15 0.15
392991.0 2670.2 0.15 0.15
392991.0 2672.4 0.15 0.15
392991.0 2673.9 0.15 0.15
392991.0 2675.1 0.15 0.15
392991.0 2676.9 0.15 0.15
392991.0 2678.8 0.15 0.15
392991.0 2680.1 0.15 0.15
392991.0 2682.7 0.15 0.15
392991.0 2716.4 0.15 0.15
392991.0 2730.3 0.15 0.15
376612.0 2436.2 -0.05 0.05
384804.0 2436.2 0.05 -0.15
376612.0 2441.7 -0.05 0.05
384804.0 2442.4 0.05 -0.15
384804.0 2473.3 0.05 -0.15
376612.0 2476.8 -0.05 0.05
384804.0 2669.2 0.05 -0.15
384804.0 2671.6 0.05 -0.15
384804.0 2673.6 0.05 -0.15
376612.0 2673.9 -0.05 0.05
376612.0 2675.9 -0.05 0.05
384804.0 2675.3 0.05 -0.15
384804.0 2676.8 0.05 -0.15
376612.0 2677.6 -0.05 0.05
384804.0 2678.4 0.05 -0.15
376612.0 2679.5 -0.05 0.05
384804.0 2680.3 0.05 -0.15
376612.0 2681.1 -0.05 0.05
376612.0 2682.2 -0.05 0.05
384804.0 2683.1 0.05 -0.15
376612.0 2684.5 -0.05 0.05
376612.0 2688.1 -0.05 0.05
384804.0 2717.8 0.05 -0.15
376612.0 2721.0 -0.05 0.05
384804.0 2728.0 0.05 -0.15
376612.0 2745.1 -0.05 0.05
384711.0 2436.0 -0.05 0.15
392903.0 2436.3 0.05 -0.05
384711.0 2441.9 -0.05 0.15
392903.0 2442.6 0.05 -0.05
392903.0 2471.4 0.05 -0.05
384711.0 2475.5 -0.05 0.15
392903.0 2669.9 0.05 -0.05
392903.0 2672.5 0.05 -0.05
384711.0 2673.3 -0.05 0.15
392903.0 2674.2 0.05 -0.05
392903.0 2675.6 0.05 -0.05
384711.0 2676.1 -0.05 0.15
392903.0 2677.6 0.05 -0.05
384711.0 2677.8 -0.05 0.15
384711.0 2679.5 -0.05 0.15
392903.0 2679.7 0.05 -0.05
384711.0 2681.0 -0.05 0.15
384711.0 2681.9 -0.05 0.15
392903.0 2683.0 0.05 -0.05
384711.0 2684.0 -0.05 0.15
384711.0 2686.6 -0.05 0.15
384711.0 2690.3 -0.05 0.15
392903.0 2717.1 0.05 -0.05
384711.0 2719.8 -0.05 0.15
392903.0 2728.8 0.05 -0.05
384711.0 2730.6 -0.05 0.15
392902.0 2435.8 0.05 0.05
401094.0 2436.1 0.15 -0.15
392902.0 2442.7 0.05 0.05
401094.0 2443.0 0.15 -0.15
392902.0 2478.5 0.05 0.05
401094.0 2667.3 0.15 -0.15
401094.0 2669.5 0.15 -0.15
392902.0 2671.2 0.05 0.05
401094.0 2671.2 0.15 -0.15
392902.0 2673.4 0.05 0.05
401094.0 2673.1 0.15 -0.15
392902.0 2675.2 0.05 0.05
401094.0 2674.9 0.15 -0.15
401094.0 2676.3 0.15 -0.15
392902.0 2676.9 0.05 0.05
392902.0 2678.0 0.05 0.05
401094.0 2678.0 0.15 -0.15
392902.0 2679.7 0.05 0.05
392902.0 2682.1 0.05 0.05
401094.0 2682.4 0.15 -0.15
392902.0 2686.3 0.05 0.05
392902.0 2716.8 0.05 0.05
401094.0 2717.7 0.15 -0.15
392902.0 2726.8 0.05 0.05
409011.0 2436.0 -0.05 0.15
409011.0 2442.7 -0.05 0.15
409011.0 2470.8 -0.05 0.15
409011.0 2673.7 -0.05 0.15
409011.0 2676.1 -0.05 0.15
409011.0 2677.7 -0.05 0.15
409011.0 2679.5 -0.05 0.15
409011.0 2681.2 -0.05 0.15
409011.0 2682.2 -0.05 0.15
409011.0 2684.2 -0.05 0.15
409011.0 2687.2 -0.05 0.15
409011.0 2691.8 -0.05 0.15
409011.0 2722.6 -0.05 0.15
409011.0 2749.7 -0.05 0.15
376614.0 2436.4 -0.05 -0.15
376614.0 2443.0 -0.05 -0.15
376614.0 2476.5 -0.05 -0.15
376614.0 2670.5 -0.05 -0.15
376614.0 2673.4 -0.05 -0.15
376614.0 2675.2 -0.05 -0.15
376614.0 2676.7 -0.05 -0.15
376614.0 2678.5 -0.05 -0.15
376614.0 2680.5 -0.05 -0.15
376614.0 2682.7 -0.05 -0.15
376614.0 2685.9 -0.05 -0.15
376614.0 2718.4 -0.05 -0.15
376614.0 2730.9 -0.05 -0.15
376792.0 2435.6 0.15 0.05
376792.0 2441.9 0.15 0.05
376792.0 2477.0 0.15 0.05
376792.0 2669.3 0.15 0.05
376792.0 2671.5 0.15 0.05
376792.0 2673.0 0.15 0.05
376792.0 2674.8 0.15 0.05
376792.0 2676.3 0.15 0.05
376792.0 2677.4 0.15 0.05
376792.0 2679.5 0.15 0.05
376792.0 2682.6 0.15 0.05
376792.0 2717.0 0.15 0.05
392993.0 2435.8 0.15 -0.05
384801.0 2436.5 0.05 0.15
384801.0 2443.4 0.05 0.15
384801.0 2473.8 0.05 0.15
392993.0 2668.7 0.15 -0.05
392993.0 2671.1 0.15 -0.05
384801.0 2672.2 0.05 0.15
392993.0 2672.9 0.15 -0.05
384801.0 2674.2 0.05 0.15
392993.0 2674.7 0.15 -0.05
384801.0 2675.6 0.05 0.15
392993.0 2676.1 0.15 -0.05
384801.0 2677.2 0.05 0.15
392993.0 2677.5 0.15 -0.05
384801.0 2678.9 0.05 0.15
384801.0 2679.9 0.05 0.15
392993.0 2680.0 0.15 -0.05
384801.0 2681.9 0.05 0.15
384801.0 2684.7 0.05 0.15
384801.0 2717.2 0.05 0.15
392993.0 2717.1 0.15 -0.05
384801.0 2728.6 0.05 0.15
384801.0 2747.1 0.05 0.15
401091.0 2435.6 0.15 0.15
401091.0 2443.5 0.15 0.15
401091.0 2670.7 0.15 0.15
401091.0 2672.9 0.15 0.15
401091.0 2674.9 0.15 0.15
401091.0 2676.9 0.15 0.15
401091.0 2678.9 0.15 0.15
401091.0 2680.1 0.15 0.15
401091.0 2682.5 0.15 0.15
401091.0 2718.6 0.15 0.15
392721.0 2435.1 -0.15 0.15
400913.0 2436.2 -0.05 -0.05
392721.0 2441.1 -0.15 0.15
400913.0 2442.0 -0.05 -0.05
400913.0 2481.3 -0.05 -0.05
400913.0 2672.2 -0.05 -0.05
400913.0 2674.6 -0.05 -0.05
392721.0 2676.2 -0.15 0.15
400913.0 2676.2 -0.05 -0.05
400913.0 2677.6 -0.05 -0.05
392721.0 2678.0 -0.15 0.15
392721.0 2679.7 -0.15 0.15
400913.0 2679.3 -0.05 -0.05
400913.0 2680.8 -0.05 -0.05
392721.0 2681.4 -0.15 0.15
392721.0 2682.4 -0.15 0.15
400913.0 2682.2 -0.05 -0.05
392721.0 2683.9 -0.15 0.15
400913.0 2684.8 -0.05 -0.05
392721.0 2686.1 -0.15 0.15
392721.0 2688.5 -0.15 0.15
392721.0 2691.5 -0.15 0.15
400913.0 2692.1 -0.05 -0.05
392721.0 2695.0 -0.15 0.15
400913.0 2718.9 -0.05 -0.05
392721.0 2722.2 -0.15 0.15
376702.0 2436.0 0.05 0.05
384894.0 2436.6 0.15 -0.15
376702.0 2442.3 0.05 0.05
384894.0 2443.0 0.15 -0.15
376702.0 2475.1 0.05 0.05
384894.0 2667.4 0.15 -0.15
384894.0 2669.7 0.15 -0.15
376702.0 2671.2 0.05 0.05
384894.0 2671.4 0.15 -0.15
376702.0 2673.5 0.05 0.05
384894.0 2673.2 0.15 -0.15
384894.0 2675.1 0.15 -0.15
376702.0 2675.3 0.05 0.05
376702.0 2677.2 0.05 0.05
384894.0 2677.2 0.15 -0.15
376702.0 2678.9 0.05 0.05
376702.0 2679.9 0.05 0.05
384894.0 2679.4 0.15 -0.15
376702.0 2682.5 0.05 0.05
376702.0 2717.3 0.05 0.05
384894.0 2717.1 0.15 -0.15
376702.0 2729.9 0.05 0.05
409191.0 2435.5 0.15 0.15
409191.0 2441.8 0.15 0.15
409191.0 2472.3 0.15 0.15
409191.0 2670.4 0.15 0.15
409191.0 2672.8 0.15 0.15
409191.0 2674.7 0.15 0.15
409191.0 2676.4 0.15 0.15
409191.0 2677.3 0.15 0.15
409191.0 2679.4 0.15 0.15
409191.0 2682.5 0.15 0.15
409191.0 2715.8 0.15 0.15
409191.0 2728.0 0.15 0.15
408923.0 2435.8 -0.15 -0.05
408923.0 2440.8 -0.15 -0.05
408923.0 2674.9 -0.15 -0.05
408923.0 2677.1 -0.15 -0.05
408923.0 2678.6 -0.15 -0.05
408923.0 2680.0 -0.15 -0.05
408923.0 2681.7 -0.15 -0.05
408923.0 2683.5 -0.15 -0.05
408923.0 2684.9 -0.15 -0.05
408923.0 2686.9 -0.15 -0.05
408923.0 2689.3 -0.15 -0.05
408923.0 2722.0 -0.15 -0.05
376701.0 2435.8 0.05 0.15
384893.0 2436.0 0.15 -0.05
384893.0 2441.8 0.15 -0.05
376701.0 2443.6 0.05 0.15
384893.0 2668.6 0.15 -0.05
384893.0 2670.9 0.15 -0.05
376701.0 2672.3 0.05 0.15
384893.0 2672.8 0.15 -0.05
376701.0 2674.4 0.05 0.15
384893.0 2674.5 0.15 -0.05
376701.0 2675.7 0.05 0.15
384893.0 2675.6 0.15 -0.05
