Number Time x_pos y_pos
182387.0 5129.0 0.15 0.05
182387.0 5142.1 0.15 0.05
182387.0 5145.4 0.15 0.05
182387.0 5146.8 0.15 0.05
182387.0 5148.1 0.15 0.05
182387.0 5150.2 0.15 0.05
182387.0 5152.0 0.15 0.05
182387.0 5152.8 0.15 0.05
182387.0 5154.8 0.15 0.05
182387.0 5157.1 0.15 0.05
182387.0 5161.1 0.15 0.05
166008.0 5126.4 -0.05 -0.05
166008.0 5137.3 -0.05 -0.05
166008.0 5143.0 -0.05 -0.05
166008.0 5145.1 -0.05 -0.05
166008.0 5146.5 -0.05 -0.05
166008.0 5148.5 -0.05 -0.05
166008.0 5150.8 -0.05 -0.05
166008.0 5153.4 -0.05 -0.05
166008.0 5156.5 -0.05 -0.05
166097.0 5124.0 0.05 0.05
174289.0 5125.9 0.15 -0.15
166097.0 5134.1 0.05 0.05
174289.0 5136.6 0.15 -0.15
174289.0 5141.2 0.15 -0.15
166097.0 5142.3 0.05 0.05
174289.0 5143.5 0.15 -0.15
174289.0 5145.6 0.15 -0.15
166097.0 5145.9 0.05 0.05
174289.0 5147.3 0.15 -0.15
166097.0 5148.4 0.05 0.05
174289.0 5148.1 0.15 -0.15
174289.0 5150.3 0.15 -0.15
166097.0 5150.5 0.05 0.05
166097.0 5152.5 0.05 0.05
174289.0 5152.9 0.15 -0.15
166097.0 5154.5 0.05 0.05
166097.0 5155.7 0.05 0.05
166097.0 5157.9 0.05 0.05
166097.0 5162.1 0.05 0.05
190309.0 5126.9 -0.05 -0.15
182117.0 5127.3 -0.15 0.05
190309.0 5136.3 -0.05 -0.15
182117.0 5137.7 -0.15 0.05
190309.0 5139.9 -0.05 -0.15
190309.0 5142.3 -0.05 -0.15
190309.0 5144.0 -0.05 -0.15
182117.0 5145.6 -0.15 0.05
190309.0 5146.1 -0.05 -0.15
182117.0 5148.4 -0.15 0.05
190309.0 5148.4 -0.05 -0.15
182117.0 5150.9 -0.15 0.05
190309.0 5151.1 -0.05 -0.15
182117.0 5153.1 -0.15 0.05
190309.0 5154.1 -0.05 -0.15
182117.0 5155.1 -0.15 0.05
182117.0 5156.7 -0.15 0.05
182117.0 5158.2 -0.15 0.05
182117.0 5160.6 -0.15 0.05
174199.0 5125.0 0.05 -0.15
166007.0 5126.0 -0.05 0.05
174199.0 5134.5 0.05 -0.15
166007.0 5135.4 -0.05 0.05
174199.0 5140.1 0.05 -0.15
174199.0 5142.1 0.05 -0.15
174199.0 5143.8 0.05 -0.15
166007.0 5144.4 -0.05 0.05
174199.0 5145.9 0.05 -0.15
166007.0 5147.0 -0.05 0.05
174199.0 5148.0 0.05 -0.15
166007.0 5148.8 -0.05 0.05
174199.0 5150.2 0.05 -0.15
166007.0 5150.8 -0.05 0.05
174199.0 5152.7 0.05 -0.15
166007.0 5152.9 -0.05 0.05
166007.0 5155.0 -0.05 0.05
166007.0 5157.1 -0.05 0.05
174199.0 5157.1 0.05 -0.15
166007.0 5159.7 -0.05 0.05
190307.0 5124.8 -0.05 0.05
198499.0 5125.2 0.05 -0.15
190307.0 5134.5 -0.05 0.05
198499.0 5134.9 0.05 -0.15
198499.0 5140.7 0.05 -0.15
198499.0 5142.0 0.05 -0.15
190307.0 5143.4 -0.05 0.05
198499.0 5143.9 0.05 -0.15
198499.0 5145.9 0.05 -0.15
190307.0 5147.2 -0.05 0.05
190307.0 5148.8 -0.05 0.05
198499.0 5148.1 0.05 -0.15
190307.0 5150.9 -0.05 0.05
198499.0 5150.8 0.05 -0.15
190307.0 5153.0 -0.05 0.05
198499.0 5154.1 0.05 -0.15
190307.0 5155.3 -0.05 0.05
190307.0 5157.7 -0.05 0.05
190307.0 5160.9 -0.05 0.05
166098.0 5124.6 0.05 -0.05
166098.0 5134.6 0.05 -0.05
166098.0 5141.8 0.05 -0.05
166098.0 5144.4 0.05 -0.05
166098.0 5146.2 0.05 -0.05
166098.0 5148.3 0.05 -0.05
166098.0 5150.5 0.05 -0.05
166098.0 5152.9 0.05 -0.05
166098.0 5155.9 0.05 -0.05
166186.0 5129.1 0.15 0.15
166186.0 5141.7 0.15 0.15
166186.0 5147.3 0.15 0.15
166186.0 5148.8 0.15 0.15
166186.0 5150.5 0.15 0.15
166186.0 5152.6 0.15 0.15
166186.0 5154.7 0.15 0.15
166186.0 5156.4 0.15 0.15
166186.0 5157.2 0.15 0.15
166186.0 5159.5 0.15 0.15
166186.0 5162.8 0.15 0.15
166099.0 5124.8 0.05 -0.15
166099.0 5134.8 0.05 -0.15
166099.0 5140.2 0.05 -0.15
166099.0 5142.0 0.05 -0.15
166099.0 5143.8 0.05 -0.15
166099.0 5145.8 0.05 -0.15
166099.0 5147.8 0.05 -0.15
166099.0 5149.0 0.05 -0.15
166099.0 5150.5 0.05 -0.15
166099.0 5153.1 0.05 -0.15
166099.0 5157.0 0.05 -0.15
166009.0 5126.0 -0.05 -0.15
166009.0 5135.6 -0.05 -0.15
166009.0 5140.9 -0.05 -0.15
166009.0 5143.0 -0.05 -0.15
166009.0 5144.3 -0.05 -0.15
166009.0 5146.2 -0.05 -0.15
166009.0 5148.5 -0.05 -0.15
166009.0 5151.1 -0.05 -0.15
166009.0 5154.7 -0.05 -0.15
174196.0 5124.4 0.05 0.15
182388.0 5130.4 0.15 -0.05
174196.0 5134.2 0.05 0.15
182388.0 5140.2 0.15 -0.05
174196.0 5142.9 0.05 0.15
182388.0 5143.1 0.15 -0.05
182388.0 5144.6 0.15 -0.05
182388.0 5145.9 0.15 -0.05
174196.0 5147.9 0.05 0.15
182388.0 5148.0 0.15 -0.05
174196.0 5150.3 0.05 0.15
182388.0 5150.1 0.15 -0.05
174196.0 5152.2 0.05 0.15
182388.0 5152.2 0.15 -0.05
174196.0 5153.1 0.05 0.15
182388.0 5154.4 0.15 -0.05
174196.0 5155.1 0.05 0.15
182388.0 5156.5 0.15 -0.05
