Number Time x_pos y_pos
182387.0 6273.0 0.15 0.05
182387.0 6275.2 0.15 0.05
182387.0 6277.0 0.15 0.05
182387.0 6278.4 0.15 0.05
182387.0 6280.0 0.15 0.05
182387.0 6282.8 0.15 0.05
166008.0 6274.4 -0.05 -0.05
166008.0 6277.2 -0.05 -0.05
166008.0 6279.4 -0.05 -0.05
166008.0 6281.3 -0.05 -0.05
166008.0 6286.6 -0.05 -0.05
166097.0 6248.7 0.05 0.05
174289.0 6256.6 0.15 -0.15
174289.0 6270.6 0.15 -0.15
174289.0 6272.6 0.15 -0.15
174289.0 6274.3 0.15 -0.15
166097.0 6274.6 0.05 0.05
174289.0 6276.7 0.15 -0.15
166097.0 6277.0 0.05 0.05
166097.0 6278.7 0.05 0.05
174289.0 6279.6 0.15 -0.15
166097.0 6280.5 0.05 0.05
166097.0 6283.4 0.05 0.05
174289.0 6310.2 0.15 -0.15
166097.0 6310.9 0.05 0.05
190309.0 6253.1 -0.05 -0.15
190309.0 6272.4 -0.05 -0.15
190309.0 6275.0 -0.05 -0.15
182117.0 6277.9 -0.15 0.05
190309.0 6277.8 -0.05 -0.15
182117.0 6280.7 -0.15 0.05
190309.0 6281.7 -0.05 -0.15
182117.0 6283.0 -0.15 0.05
182117.0 6285.2 -0.15 0.05
182117.0 6288.5 -0.15 0.05
190309.0 6313.5 -0.05 -0.15
174199.0 6251.7 0.05 -0.15
174199.0 6271.3 0.05 -0.15
174199.0 6273.7 0.05 -0.15
174199.0 6275.4 0.05 -0.15
166007.0 6276.3 -0.05 0.05
174199.0 6277.8 0.05 -0.15
166007.0 6278.6 -0.05 0.05
166007.0 6280.8 -0.05 0.05
174199.0 6282.0 0.05 -0.15
166007.0 6283.4 -0.05 0.05
166007.0 6287.7 -0.05 0.05
174199.0 6307.8 0.05 -0.15
198499.0 6254.2 0.05 -0.15
198499.0 6271.1 0.05 -0.15
198499.0 6273.5 0.05 -0.15
198499.0 6275.5 0.05 -0.15
190307.0 6276.4 -0.05 0.05
198499.0 6278.1 0.05 -0.15
190307.0 6278.9 -0.05 0.05
190307.0 6280.9 -0.05 0.05
190307.0 6283.6 -0.05 0.05
190307.0 6287.6 -0.05 0.05
198499.0 6308.2 0.05 -0.15
166098.0 6251.6 0.05 -0.05
166098.0 6273.0 0.05 -0.05
166098.0 6275.7 0.05 -0.05
166098.0 6277.9 0.05 -0.05
166098.0 6280.9 0.05 -0.05
166098.0 6285.1 0.05 -0.05
166098.0 6310.4 0.05 -0.05
166186.0 6275.3 0.15 0.15
166186.0 6277.5 0.15 0.15
166186.0 6279.8 0.15 0.15
166186.0 6281.9 0.15 0.15
166186.0 6284.0 0.15 0.15
166186.0 6288.3 0.15 0.15
166099.0 6262.4 0.05 -0.15
166099.0 6271.6 0.05 -0.15
166099.0 6273.9 0.05 -0.15
166099.0 6275.4 0.05 -0.15
166099.0 6277.2 0.05 -0.15
166099.0 6280.0 0.05 -0.15
166009.0 6255.9 -0.05 -0.15
166009.0 6273.1 -0.05 -0.15
166009.0 6275.6 -0.05 -0.15
166009.0 6278.2 -0.05 -0.15
166009.0 6282.3 -0.05 -0.15
174196.0 6248.1 0.05 0.15
182388.0 6271.8 0.15 -0.05
182388.0 6274.0 0.15 -0.05
182388.0 6275.6 0.15 -0.05
174196.0 6276.2 0.05 0.15
182388.0 6277.5 0.15 -0.05
174196.0 6278.5 0.05 0.15
174196.0 6280.6 0.05 0.15
182388.0 6280.2 0.15 -0.05
174196.0 6282.6 0.05 0.15
174196.0 6284.7 0.05 0.15
174196.0 6288.4 0.05 0.15
174196.0 6313.6 0.05 0.15
174109.0 6273.1 -0.05 -0.15
174109.0 6275.4 -0.05 -0.15
165917.0 6278.2 -0.15 0.05
174109.0 6277.8 -0.05 -0.15
165917.0 6281.2 -0.15 0.05
174109.0 6281.9 -0.05 -0.15
165917.0 6284.4 -0.15 0.05
166096.0 6250.8 0.05 0.15
174288.0 6271.5 0.15 -0.05
174288.0 6273.9 0.15 -0.05
174288.0 6275.5 0.15 -0.05
166096.0 6276.8 0.05 0.15
174288.0 6277.6 0.15 -0.05
166096.0 6278.9 0.05 0.15
166096.0 6280.7 0.05 0.15
174288.0 6280.9 0.15 -0.05
166096.0 6282.7 0.05 0.15
166096.0 6284.8 0.05 0.15
166096.0 6289.5 0.05 0.15
165918.0 6277.4 -0.15 -0.05
165918.0 6280.2 -0.15 -0.05
165918.0 6283.2 -0.15 -0.05
165918.0 6287.9 -0.15 -0.05
198319.0 6274.8 -0.15 -0.15
198319.0 6278.1 -0.15 -0.15
198319.0 6282.0 -0.15 -0.15
198587.0 6273.2 0.15 0.05
198587.0 6275.6 0.15 0.05
198587.0 6277.8 0.15 0.05
198587.0 6280.2 0.15 0.05
198587.0 6283.3 0.15 0.05
182386.0 6275.5 0.15 0.15
182386.0 6277.7 0.15 0.15
182386.0 6279.8 0.15 0.15
182386.0 6282.0 0.15 0.15
182386.0 6284.4 0.15 0.15
182386.0 6289.9 0.15 0.15
182298.0 6256.5 0.05 -0.05
182298.0 6273.1 0.05 -0.05
182298.0 6275.2 0.05 -0.05
182298.0 6277.2 0.05 -0.05
174106.0 6277.9 -0.05 0.15
182298.0 6279.0 0.05 -0.05
174106.0 6280.7 -0.05 0.15
182298.0 6280.6 0.05 -0.05
174106.0 6283.0 -0.05 0.15
182298.0 6284.2 0.05 -0.05
174106.0 6285.4 -0.05 0.15
174106.0 6288.9 -0.05 0.15
182298.0 6311.0 0.05 -0.05
198589.0 6252.3 0.15 -0.15
190397.0 6255.1 0.05 0.05
198589.0 6269.1 0.15 -0.15
198589.0 6271.5 0.15 -0.15
198589.0 6273.7 0.15 -0.15
190397.0 6274.8 0.05 0.05
198589.0 6275.3 0.15 -0.15
190397.0 6277.4 0.05 0.05
198589.0 6277.4 0.15 -0.15
190397.0 6279.5 0.05 0.05
190397.0 6281.2 0.05 0.05
198589.0 6282.4 0.15 -0.15
190397.0 6283.7 0.05 0.05
198589.0 6310.9 0.15 -0.15
198409.0 6273.3 -0.05 -0.15
198409.0 6275.8 -0.05 -0.15
190217.0 6278.0 -0.15 0.05
198409.0 6278.1 -0.05 -0.15
190217.0 6281.0 -0.15 0.05
198409.0 6282.3 -0.05 -0.15
190217.0 6283.5 -0.15 0.05
190217.0 6286.8 -0.15 0.05
182208.0 6274.6 -0.05 -0.05
182208.0 6277.5 -0.05 -0.05
174016.0 6279.8 -0.15 0.15
182208.0 6280.4 -0.05 -0.05
174016.0 6282.3 -0.15 0.15
174016.0 6284.3 -0.15 0.15
182208.0 6284.2 -0.05 -0.05
174016.0 6287.8 -0.15 0.15
174286.0 6275.1 0.15 0.15
174286.0 6277.3 0.15 0.15
174286.0 6279.2 0.15 0.15
174286.0 6280.6 0.15 0.15
174286.0 6282.3 0.15 0.15
174286.0 6284.9 0.15 0.15
190308.0 6252.9 -0.05 -0.05
190308.0 6274.9 -0.05 -0.05
190308.0 6278.1 -0.05 -0.05
182116.0 6280.2 -0.15 0.15
190308.0 6281.2 -0.05 -0.05
182116.0 6283.1 -0.15 0.15
182116.0 6285.4 -0.15 0.15
182116.0 6288.0 -0.15 0.15
190308.0 6287.4 -0.05 -0.05
190219.0 6274.8 -0.15 -0.15
190219.0 6278.3 -0.15 -0.15
190219.0 6281.8 -0.15 -0.15
198497.0 6275.2 0.05 0.05
198497.0 6277.6 0.05 0.05
198497.0 6279.8 0.05 0.05
198497.0 6281.9 0.05 0.05
198497.0 6283.9 0.05 0.05
182206.0 6247.2 -0.05 0.15
190398.0 6262.6 0.05 -0.05
190398.0 6274.1 0.05 -0.05
190398.0 6275.9 0.05 -0.05
182206.0 6277.9 -0.05 0.15
190398.0 6277.9 0.05 -0.05
182206.0 6280.6 -0.05 0.15
190398.0 6280.8 0.05 -0.05
182206.0 6283.0 -0.05 0.15
182206.0 6285.4 -0.05 0.15
190398.0 6285.0 0.05 -0.05
182206.0 6289.0 -0.05 0.15
190398.0 6319.5 0.05 -0.05
174018.0 6276.2 -0.15 -0.05
174018.0 6278.6 -0.15 -0.05
174018.0 6281.6 -0.15 -0.05
174018.0 6285.2 -0.15 -0.05
190399.0 6252.0 0.05 -0.15
190399.0 6271.5 0.05 -0.15
190399.0 6274.1 0.05 -0.15
182207.0 6275.9 -0.05 0.05
190399.0 6276.1 0.05 -0.15
182207.0 6278.4 -0.05 0.05
190399.0 6278.3 0.05 -0.15
182207.0 6280.9 -0.05 0.05
190399.0 6282.0 0.05 -0.15
182207.0 6283.6 -0.05 0.05
182207.0 6289.3 -0.05 0.05
190399.0 6308.7 0.05 -0.15
174197.0 6247.4 0.05 0.05
182389.0 6269.2 0.15 -0.15
182389.0 6271.8 0.15 -0.15
182389.0 6274.1 0.15 -0.15
174197.0 6274.8 0.05 0.05
182389.0 6275.8 0.15 -0.15
174197.0 6277.1 0.05 0.05
182389.0 6277.8 0.15 -0.15
174197.0 6279.1 0.05 0.05
174197.0 6280.9 0.05 0.05
174197.0 6283.5 0.05 0.05
182389.0 6283.8 0.15 -0.15
174197.0 6312.7 0.05 0.05
190489.0 6256.0 0.15 -0.15
190489.0 6269.8 0.15 -0.15
190489.0 6272.3 0.15 -0.15
182297.0 6274.3 0.05 0.05
190489.0 6274.2 0.15 -0.15
182297.0 6276.5 0.05 0.05
190489.0 6276.7 0.15 -0.15
182297.0 6278.3 0.05 0.05
182297.0 6280.3 0.05 0.05
190489.0 6280.1 0.15 -0.15
182297.0 6283.3 0.05 0.05
190489.0 6310.4 0.15 -0.15
190486.0 6275.2 0.15 0.15
190486.0 6277.5 0.15 0.15
190486.0 6279.6 0.15 0.15
190486.0 6281.3 0.15 0.15
190486.0 6282.7 0.15 0.15
190486.0 6284.8 0.15 0.15
190486.0 6289.4 0.15 0.15
166189.0 6270.2 0.15 -0.15
166189.0 6272.4 0.15 -0.15
166189.0 6274.4 0.15 -0.15
166189.0 6277.1 0.15 -0.15
198317.0 6278.6 -0.15 0.05
166189.0 6280.9 0.15 -0.15
198317.0 6281.2 -0.15 0.05
198317.0 6283.8 -0.15 0.05
198317.0 6287.3 -0.15 0.05
174198.0 6273.0 0.05 -0.05
174198.0 6275.2 0.05 -0.05
174198.0 6277.2 0.05 -0.05
166006.0 6277.9 -0.05 0.15
174198.0 6279.1 0.05 -0.05
166006.0 6280.8 -0.05 0.15
174198.0 6281.0 0.05 -0.05
166006.0 6283.2 -0.05 0.15
174198.0 6284.9 0.05 -0.05
