Number Time x_pos y_pos
93198.0 6271.5 0.05 -0.15
44686.0 6273.7 0.15 0.05
93198.0 6274.8 0.05 -0.15
133518.0 6275.2 -0.15 -0.15
44686.0 6276.3 0.15 0.05
85006.0 6276.2 -0.05 0.05
44686.0 6278.6 0.15 0.05
85006.0 6279.1 -0.05 0.05
133518.0 6281.6 -0.15 -0.15
44686.0 6281.9 0.15 0.05
85006.0 6282.0 -0.05 0.05
36497.0 6272.6 0.05 -0.05
36497.0 6275.1 0.05 -0.05
76817.0 6276.5 -0.15 -0.05
28305.0 6277.9 -0.05 0.15
36497.0 6278.2 0.05 -0.05
76817.0 6280.4 -0.15 -0.05
28305.0 6281.2 -0.05 0.15
28305.0 6284.9 -0.05 0.15
52697.0 6272.9 0.05 -0.05
4185.0 6275.3 0.15 0.15
93017.0 6275.8 -0.15 -0.05
52697.0 6276.1 0.05 -0.05
44505.0 6277.6 -0.05 0.15
4185.0 6277.9 0.15 0.15
52697.0 6279.0 0.05 -0.05
93017.0 6279.6 -0.15 -0.05
4185.0 6280.6 0.15 0.15
44505.0 6280.6 -0.05 0.15
44505.0 6283.7 -0.05 0.15
4185.0 6286.4 0.15 0.15
109397.0 6272.8 0.05 -0.05
60885.0 6275.9 0.15 0.15
109397.0 6275.4 0.05 -0.05
149717.0 6276.4 -0.15 -0.05
101205.0 6277.5 -0.05 0.15
60885.0 6278.3 0.15 0.15
109397.0 6278.6 0.05 -0.05
60885.0 6280.6 0.15 0.15
101205.0 6280.3 -0.05 0.15
149717.0 6280.7 -0.15 -0.05
60885.0 6283.9 0.15 0.15
101205.0 6284.5 -0.05 0.15
125597.0 6273.0 0.05 -0.05
77085.0 6275.4 0.15 0.15
125597.0 6275.9 0.05 -0.05
77085.0 6277.9 0.15 0.15
117405.0 6278.5 -0.05 0.15
125597.0 6278.8 0.05 -0.05
77085.0 6280.4 0.15 0.15
117405.0 6281.3 -0.05 0.15
77085.0 6283.9 0.15 0.15
117405.0 6284.7 -0.05 0.15
158085.0 6275.4 0.15 0.15
158085.0 6278.3 0.15 0.15
158085.0 6280.2 0.15 0.15
158085.0 6283.8 0.15 0.15
158088.0 6269.9 0.15 -0.15
158088.0 6272.4 0.15 -0.15
149896.0 6275.0 0.05 0.05
158088.0 6274.8 0.15 -0.15
149896.0 6278.1 0.05 0.05
149896.0 6282.8 0.05 0.05
109488.0 6269.8 0.15 -0.15
109488.0 6272.4 0.15 -0.15
149808.0 6272.5 -0.05 -0.15
101296.0 6274.6 0.05 0.05
109488.0 6275.3 0.15 -0.15
149808.0 6275.9 -0.05 -0.15
101296.0 6277.6 0.05 0.05
141616.0 6278.5 -0.15 0.05
101296.0 6280.9 0.05 0.05
141616.0 6283.3 -0.15 0.05
133698.0 6270.9 0.05 -0.15
133698.0 6273.4 0.05 -0.15
85186.0 6274.2 0.15 0.05
125506.0 6275.9 -0.05 0.05
85186.0 6276.4 0.15 0.05
133698.0 6276.6 0.05 -0.15
85186.0 6278.5 0.15 0.05
125506.0 6279.1 -0.05 0.05
85186.0 6281.7 0.15 0.05
125506.0 6281.8 -0.05 0.05
20207.0 6274.8 -0.05 -0.05
20207.0 6278.2 -0.05 -0.05
12015.0 6279.5 -0.15 0.15
12015.0 6282.6 -0.15 0.15
12015.0 6287.5 -0.15 0.15
36318.0 6275.4 -0.15 -0.15
36318.0 6281.0 -0.15 -0.15
85098.0 6271.7 0.05 -0.15
36586.0 6274.0 0.15 0.05
85098.0 6274.5 0.05 -0.15
125418.0 6275.0 -0.15 -0.15
76906.0 6275.8 -0.05 0.05
36586.0 6276.1 0.15 0.05
36586.0 6278.3 0.15 0.05
76906.0 6278.8 -0.05 0.05
85098.0 6279.1 0.05 -0.15
36586.0 6281.4 0.15 0.05
125418.0 6281.7 -0.15 -0.15
76906.0 6283.2 -0.05 0.05
4188.0 6269.2 0.15 -0.15
4188.0 6272.2 0.15 -0.15
44508.0 6272.4 -0.05 -0.15
4188.0 6275.2 0.15 -0.15
44508.0 6275.7 -0.05 -0.15
36316.0 6278.1 -0.15 0.05
36316.0 6282.6 -0.15 0.05
28487.0 6272.2 0.15 -0.05
28487.0 6275.0 0.15 -0.05
68807.0 6274.5 -0.05 -0.05
20295.0 6277.0 0.05 0.15
28487.0 6278.2 0.15 -0.05
68807.0 6278.1 -0.05 -0.05
20295.0 6279.8 0.05 0.15
60615.0 6280.1 -0.15 0.15
20295.0 6283.0 0.05 0.15
60615.0 6284.0 -0.15 0.15
125685.0 6275.0 0.15 0.15
125685.0 6277.8 0.15 0.15
125685.0 6280.3 0.15 0.15
125685.0 6284.1 0.15 0.15
76997.0 6273.6 0.05 -0.05
28485.0 6275.7 0.15 0.15
76997.0 6276.4 0.05 -0.05
117317.0 6276.1 -0.15 -0.05
28485.0 6278.2 0.15 0.15
68805.0 6278.1 -0.05 0.15
28485.0 6280.4 0.15 0.15
76997.0 6280.4 0.05 -0.05
117317.0 6280.2 -0.15 -0.05
68805.0 6281.5 -0.05 0.15
68805.0 6284.8 -0.05 0.15
28485.0 6285.8 0.15 0.15
149986.0 6273.4 0.15 0.05
149986.0 6276.0 0.15 0.05
149986.0 6278.3 0.15 0.05
149986.0 6281.4 0.15 0.05
141885.0 6275.8 0.15 0.15
141885.0 6278.0 0.15 0.15
141885.0 6280.5 0.15 0.15
141885.0 6283.9 0.15 0.15
125687.0 6271.3 0.15 -0.05
125687.0 6274.1 0.15 -0.05
117495.0 6276.6 0.05 0.15
125687.0 6276.5 0.15 -0.05
117495.0 6279.4 0.05 0.15
157815.0 6279.6 -0.15 0.15
117495.0 6281.2 0.05 0.15
157815.0 6282.4 -0.15 0.15
157815.0 6286.9 -0.15 0.15
52787.0 6271.6 0.15 -0.05
52787.0 6274.7 0.15 -0.05
93107.0 6275.0 -0.05 -0.05
44595.0 6276.6 0.05 0.15
52787.0 6277.7 0.15 -0.05
93107.0 6278.1 -0.05 -0.05
44595.0 6279.1 0.05 0.15
84915.0 6279.8 -0.15 0.15
44595.0 6281.2 0.05 0.15
84915.0 6282.6 -0.15 0.15
93107.0 6284.4 -0.05 -0.05
44595.0 6285.3 0.05 0.15
84915.0 6285.4 -0.15 0.15
20297.0 6273.3 0.05 -0.05
20297.0 6276.0 0.05 -0.05
60617.0 6277.4 -0.15 -0.05
12105.0 6278.0 -0.05 0.15
20297.0 6278.3 0.05 -0.05
12105.0 6281.1 -0.05 0.15
60617.0 6281.9 -0.15 -0.05
12105.0 6284.7 -0.05 0.15
3917.0 6276.7 -0.15 -0.05
3917.0 6280.9 -0.15 -0.05
20298.0 6270.6 0.05 -0.15
20298.0 6273.5 0.05 -0.15
60618.0 6274.3 -0.15 -0.15
12106.0 6276.4 -0.05 0.05
20298.0 6277.0 0.05 -0.15
60618.0 6278.4 -0.15 -0.15
12106.0 6279.8 -0.05 0.05
12106.0 6282.6 -0.05 0.05
85187.0 6271.8 0.15 -0.05
85187.0 6274.6 0.15 -0.05
125507.0 6274.5 -0.05 -0.05
76995.0 6276.6 0.05 0.15
85187.0 6277.5 0.15 -0.05
125507.0 6277.9 -0.05 -0.05
76995.0 6279.5 0.05 0.15
117315.0 6279.7 -0.15 0.15
117315.0 6282.4 -0.15 0.15
76995.0 6282.6 0.05 0.15
117315.0 6285.8 -0.15 0.15
93288.0 6269.4 0.15 -0.15
93288.0 6272.1 0.15 -0.15
133608.0 6272.9 -0.05 -0.15
85096.0 6274.5 0.05 0.05
93288.0 6275.1 0.15 -0.15
133608.0 6276.1 -0.05 -0.15
85096.0 6277.5 0.05 0.05
125416.0 6279.0 -0.15 0.05
85096.0 6280.8 0.05 0.05
125416.0 6282.6 -0.15 0.05
157996.0 6274.3 0.05 0.05
157996.0 6277.2 0.05 0.05
157996.0 6280.2 0.05 0.05
28488.0 6269.6 0.15 -0.15
28488.0 6272.6 0.15 -0.15
68808.0 6272.8 -0.05 -0.15
