Number Time x_pos y_pos
571195.0 6.5 0.15 0.15
571195.0 8.6 0.15 0.15
571195.0 10.4 0.15 0.15
571195.0 11.4 0.15 0.15
571195.0 12.5 0.15 0.15
571195.0 14.2 0.15 0.15
571195.0 16.1 0.15 0.15
571195.0 18.1 0.15 0.15
571195.0 21.1 0.15 0.15
571195.0 116.2 0.15 0.15
571195.0 153.5 0.15 0.15
571195.0 193.7 0.15 0.15
571195.0 231.7 0.15 0.15
571195.0 267.5 0.15 0.15
571195.0 298.6 0.15 0.15
571195.0 337.6 0.15 0.15
571195.0 372.8 0.15 0.15
571195.0 386.9 0.15 0.15
571195.0 425.1 0.15 0.15
571195.0 454.5 0.15 0.15
571195.0 490.7 0.15 0.15
571195.0 528.4 0.15 0.15
571195.0 561.2 0.15 0.15
571195.0 597.9 0.15 0.15
571195.0 617.3 0.15 0.15
571195.0 664.0 0.15 0.15
571195.0 697.6 0.15 0.15
465626.0 5.5 -0.15 0.05
433498.0 7.1 0.15 -0.15
465626.0 7.1 -0.15 0.05
425306.0 8.4 0.05 0.05
473818.0 8.4 -0.05 -0.15
433498.0 8.9 0.15 -0.15
465626.0 8.9 -0.15 0.05
473818.0 9.5 -0.05 -0.15
425306.0 9.8 0.05 0.05
425306.0 10.7 0.05 0.05
433498.0 10.7 0.15 -0.15
465626.0 10.6 -0.15 0.05
473818.0 10.7 -0.05 -0.15
425306.0 12.4 0.05 0.05
433498.0 12.4 0.15 -0.15
465626.0 12.3 -0.15 0.05
473818.0 12.4 -0.05 -0.15
425306.0 14.1 0.05 0.05
433498.0 14.1 0.15 -0.15
465626.0 14.1 -0.15 0.05
473818.0 14.2 -0.05 -0.15
425306.0 15.9 0.05 0.05
433498.0 16.0 0.15 -0.15
465626.0 16.0 -0.15 0.05
473818.0 16.0 -0.05 -0.15
425306.0 17.9 0.05 0.05
433498.0 17.9 0.15 -0.15
465626.0 17.9 -0.15 0.05
473818.0 17.9 -0.05 -0.15
425306.0 20.0 0.05 0.05
465626.0 19.9 -0.15 0.05
473818.0 20.0 -0.05 -0.15
433498.0 20.1 0.15 -0.15
465626.0 94.5 -0.15 0.05
433498.0 116.8 0.15 -0.15
465626.0 116.9 -0.15 0.05
465626.0 125.3 -0.15 0.05
465626.0 144.5 -0.15 0.05
433498.0 154.4 0.15 -0.15
465626.0 154.7 -0.15 0.05
425306.0 162.0 0.05 0.05
473818.0 161.8 -0.05 -0.15
465626.0 186.7 -0.15 0.05
433498.0 194.3 0.15 -0.15
465626.0 195.7 -0.15 0.05
465626.0 224.6 -0.15 0.05
433498.0 233.2 0.15 -0.15
465626.0 233.1 -0.15 0.05
425306.0 250.4 0.05 0.05
465626.0 250.9 -0.15 0.05
433498.0 269.7 0.15 -0.15
465626.0 280.7 -0.15 0.05
465626.0 291.5 -0.15 0.05
433498.0 297.4 0.15 -0.15
473818.0 302.2 -0.05 -0.15
425306.0 302.9 0.05 0.05
465626.0 303.7 -0.15 0.05
433498.0 309.1 0.15 -0.15
465626.0 332.5 -0.15 0.05
433498.0 349.1 0.15 -0.15
465626.0 349.7 -0.15 0.05
465626.0 370.2 -0.15 0.05
465626.0 388.0 -0.15 0.05
433498.0 388.8 0.15 -0.15
425306.0 391.4 0.05 0.05
465626.0 397.6 -0.15 0.05
473818.0 397.5 -0.05 -0.15
433498.0 420.7 0.15 -0.15
465626.0 425.0 -0.15 0.05
465626.0 445.7 -0.15 0.05
433498.0 456.2 0.15 -0.15
