Number Time x_pos y_pos
392991.0 1235.4 0.15 0.15
384804.0 1235.6 0.05 -0.15
376612.0 1236.1 -0.05 0.05
384711.0 1236.0 -0.05 0.15
392903.0 1236.1 0.05 -0.05
392902.0 1236.2 0.05 0.05
401094.0 1236.3 0.15 -0.15
409011.0 1236.3 -0.05 0.15
376614.0 1236.4 -0.05 -0.15
376792.0 1236.0 0.15 0.05
384801.0 1236.6 0.05 0.15
392993.0 1237.5 0.15 -0.05
401091.0 1236.2 0.15 0.15
392721.0 1235.3 -0.15 0.15
400913.0 1236.1 -0.05 -0.05
376702.0 1236.5 0.05 0.05
384894.0 1237.2 0.15 -0.15
409191.0 1235.8 0.15 0.15
408923.0 1235.8 -0.15 -0.05
376701.0 1236.4 0.05 0.15
384893.0 1236.1 0.15 -0.05
392814.0 1235.7 -0.05 -0.15
384622.0 1236.4 -0.15 0.05
392722.0 1235.9 -0.15 0.05
400914.0 1235.4 -0.05 -0.15
408924.0 1235.9 -0.15 -0.15
400821.0 1235.9 -0.15 0.15
409013.0 1236.4 -0.05 -0.05
384624.0 1235.5 -0.15 -0.15
384892.0 1236.2 0.15 0.05
384623.0 1235.6 -0.15 -0.05
376703.0 1236.8 0.05 -0.05
384802.0 1235.5 0.05 0.05
392994.0 1236.0 0.15 -0.15
408922.0 1235.1 -0.15 0.05
376794.0 1236.4 0.15 -0.15
409101.0 1236.2 0.05 0.15
400912.0 1236.2 -0.05 0.05
409104.0 1236.9 0.05 -0.15
376611.0 1235.9 -0.05 0.15
384803.0 1236.0 0.05 -0.05
400911.0 1235.9 -0.05 0.15
409103.0 1236.6 0.05 -0.05
400822.0 1235.5 -0.15 0.05
409014.0 1236.3 -0.05 -0.15
384891.0 1236.4 0.15 0.15
392811.0 1235.6 -0.05 0.15
401003.0 1236.4 0.05 -0.05
401001.0 1236.2 0.05 0.15
409193.0 1237.1 0.15 -0.05
401002.0 1236.1 0.05 0.05
409194.0 1236.5 0.15 -0.15
392723.0 1235.5 -0.15 -0.05
401092.0 1236.4 0.15 0.05
376704.0 1236.3 0.05 -0.15
376791.0 1235.9 0.15 0.15
409012.0 1235.9 -0.05 0.05
392992.0 1235.9 0.15 0.05
408921.0 1235.5 -0.15 0.15
376793.0 1237.0 0.15 -0.05
400823.0 1235.7 -0.15 -0.05
384621.0 1235.6 -0.15 0.15
392813.0 1235.9 -0.05 -0.05
392904.0 1236.0 0.05 -0.15
384712.0 1236.2 -0.05 0.05
392812.0 1236.2 -0.05 0.05
401004.0 1236.4 0.05 -0.15
409192.0 1236.6 0.15 0.05
401093.0 1235.7 0.15 -0.05
392901.0 1236.5 0.05 0.15
376613.0 1235.8 -0.05 -0.05
392724.0 1235.8 -0.15 -0.15
400824.0 1236.2 -0.15 -0.15
376523.0 1235.9 -0.15 -0.05
409102.0 1236.2 0.05 0.05
376524.0 1236.2 -0.15 -0.15
376521.0 1235.7 -0.15 0.15
384713.0 1236.1 -0.05 -0.05
376522.0 1235.3 -0.15 0.05
384714.0 1236.1 -0.05 -0.15
587309.0 1205.2 0.05 -0.15
587309.0 1206.2 0.05 -0.15
587309.0 1207.0 0.05 -0.15
587309.0 1207.6 0.05 -0.15
587309.0 1208.2 0.05 -0.15
587309.0 1208.8 0.05 -0.15
587309.0 1209.3 0.05 -0.15
587309.0 1209.9 0.05 -0.15
587309.0 1210.4 0.05 -0.15
587309.0 1210.7 0.05 -0.15
587309.0 1211.6 0.05 -0.15
587309.0 1212.1 0.05 -0.15
587309.0 1212.4 0.05 -0.15
587309.0 1213.5 0.05 -0.15
587309.0 1213.9 0.05 -0.15
587309.0 1214.9 0.05 -0.15
587309.0 1215.4 0.05 -0.15
587309.0 1215.7 0.05 -0.15
587309.0 1217.3 0.05 -0.15
587309.0 1218.1 0.05 -0.15
587309.0 1219.1 0.05 -0.15
587309.0 1221.3 0.05 -0.15
587309.0 1243.3 0.05 -0.15
587309.0 1250.0 0.05 -0.15
587309.0 1288.3 0.05 -0.15
587309.0 1315.0 0.05 -0.15
587309.0 1340.0 0.05 -0.15
587309.0 1351.1 0.05 -0.15
587309.0 1377.2 0.05 -0.15
587309.0 1384.5 0.05 -0.15
587309.0 1391.8 0.05 -0.15
587309.0 1416.0 0.05 -0.15
587309.0 1420.7 0.05 -0.15
587309.0 1425.0 0.05 -0.15
587309.0 1427.8 0.05 -0.15
587309.0 1431.0 0.05 -0.15
587309.0 1468.2 0.05 -0.15
587309.0 1497.5 0.05 -0.15
587309.0 1521.5 0.05 -0.15
587309.0 1536.1 0.05 -0.15
587309.0 1548.3 0.05 -0.15
587309.0 1566.4 0.05 -0.15
587309.0 1600.9 0.05 -0.15
587309.0 1627.3 0.05 -0.15
587309.0 1642.8 0.05 -0.15
587309.0 1651.9 0.05 -0.15
587309.0 1655.9 0.05 -0.15
587309.0 1660.2 0.05 -0.15
587309.0 1687.3 0.05 -0.15
587309.0 1690.8 0.05 -0.15
587309.0 1694.3 0.05 -0.15
587309.0 1698.1 0.05 -0.15
587309.0 1709.5 0.05 -0.15
